	X_Minimum	X_Maximum	Y_Minimum	Y_Maximum	Pixels_Areas	X_Perimeter	Y_Perimeter	Sum_of_Luminosity	Minimum_of_Luminosity	Maximum_of_Luminosity	Length_of_Conveyer	TypeOfSteel_A300	TypeOfSteel_A400	Steel_Plate_Thickness	Edges_Index	Empty_Index	Square_Index	Outside_X_Index	Edges_X_Index	Edges_Y_Index	Outside_Global_Index	LogOfAreas	Log_X_Index	Log_Y_Index	Orientation_Index	Luminosity_Index	SigmoidOfAreas	Class
0	137	170	301492	301511	304	59	26	35778	111	126	1360	0	1	40	0.2015	0.5152	0.5758	0.0243	0.5593	0.7308	0.0	2.4829	1.5185	1.2787	-0.4242	-0.0805	0.8971	7
3	188	198	3942253	3942263	74	11	10	8375	95	134	1688	1	0	70	0.2227	0.26	1.0	0.0059	0.9091	1.0	0.5	1.8692	1.0	1.0	0.0	-0.1158	0.2061	6
7	492	506	169603	169617	110	21	16	20245	178	197	1387	0	1	40	0.7094	0.4388	1.0	0.0101	0.6667	0.875	0.5	2.0414	1.1461	1.1461	0.0	0.4379	0.33	7
11	81	90	2082327	2082338	60	13	11	6133	91	117	1356	1	0	70	0.1195	0.3939	0.8182	0.0066	0.6923	1.0	1.0	1.7781	0.9542	1.0414	0.1818	-0.2014	0.2051	2
12	625	636	1997356	1997506	1082	102	150	118721	94	132	1366	0	1	100	0.9151	0.3442	0.0733	0.0081	0.1078	1.0	1.0	3.0342	1.0414	2.1761	0.9267	-0.1428	0.9999	5
16	39	214	1050670	1050830	13033	731	420	1508093	29	141	1398	0	1	40	0.0558	0.5345	0.9143	0.1252	0.2394	0.381	0.0	4.115	2.243	2.2041	-0.0857	-0.096	1.0	3
20	1287	1296	1695433	1695447	86	16	14	9848	100	133	1652	1	0	69	0.431	0.3175	0.6429	0.0055	0.5625	1.0	1.0	1.9345	0.9542	1.1461	0.3571	-0.1054	0.2359	6
21	1167	1192	294065	294091	451	33	27	42862	25	132	1354	0	1	40	0.2393	0.3061	0.9615	0.0185	0.7576	0.963	1.0	2.6542	1.3979	1.415	0.0385	-0.2575	0.9104	7
23	49	71	573049	573118	884	106	98	83716	77	118	1356	1	0	70	0.0723	0.4177	0.3188	0.0162	0.2076	0.7041	1.0	2.9464	1.3424	1.8389	0.6812	-0.2601	0.9997	2
24	1595	1622	3127441	3127611	1421	239	204	162939	104	127	1692	0	1	70	0.0827	0.6904	0.1588	0.016	0.113	0.8333	1.0	3.1526	1.4314	2.2304	0.8412	-0.1042	1.0	7
25	654	661	1465420	1465433	55	13	13	6302	107	126	1354	0	1	40	0.966	0.3956	0.5385	0.0052	0.5385	1.0	1.0	1.7404	0.8451	1.1139	0.4615	-0.1048	0.1965	7
26	662	670	266284	266316	152	25	32	17101	101	125	1630	0	1	120	0.8123	0.4063	0.25	0.0049	0.32	1.0	1.0	2.1818	0.9031	1.5051	0.75	-0.121	0.4235	7
28	584	590	83249	83253	15	6	4	1522	90	118	1358	0	1	50	0.8601	0.375	0.6667	0.0044	1.0	1.0	0.0	1.1761	0.7782	0.6021	-0.3333	-0.2073	0.1353	4
32	259	270	88576	88613	204	28	37	16370	71	93	1692	0	1	300	0.3061	0.4988	0.2973	0.0065	0.3929	1.0	1.0	2.3096	1.0414	1.5682	0.7027	-0.3731	0.6678	7
33	39	211	2212076	2212144	6249	263	137	649801	39	124	1358	0	1	40	0.0574	0.4657	0.3954	0.1267	0.654	0.4963	0.0	3.7958	2.2355	1.8325	-0.6047	-0.1876	1.0	3
36	98	108	1889430	1889440	51	15	10	5546	99	124	1356	1	0	70	0.1445	0.49	1.0	0.0074	0.6667	1.0	0.5	1.7076	1.0	1.0	0.0	-0.1504	0.2061	2
38	39	212	2730163	2730230	6108	299	149	635284	40	125	1356	0	1	40	0.0575	0.473	0.3873	0.1276	0.5786	0.4497	0.0	3.7859	2.238	1.8261	-0.6127	-0.1874	1.0	3
41	345	356	822292	822313	170	21	21	18503	82	127	1353	1	0	50	0.51	0.2641	0.5238	0.0081	0.5238	1.0	1.0	2.2304	1.0414	1.3222	0.4762	-0.1497	0.3834	7
43	1265	1278	31580	31602	211	18	22	17820	49	109	1364	0	1	100	0.1261	0.2622	0.5909	0.0095	0.7222	1.0	1.0	2.3243	1.1139	1.3424	0.4091	-0.3402	0.4729	1
46	489	494	847972	847976	16	6	4	2020	106	141	1358	0	1	50	0.7202	0.2	0.8	0.0037	0.8333	1.0	0.0	1.2041	0.699	0.6021	-0.2	-0.0137	0.1322	4
50	1327	1332	1432108	1432144	105	14	36	12615	111	135	1354	0	1	40	0.0325	0.4167	0.1389	0.0037	0.3571	1.0	1.0	2.0212	0.699	1.5563	0.8611	-0.0614	0.3068	7
51	26	40	2535272	2535292	205	24	21	26503	108	148	1354	1	0	70	0.0384	0.2679	0.7	0.0103	0.5833	0.9524	1.0	2.3117	1.1461	1.301	0.3	0.01	0.463	2
57	159	172	7003	7020	126	21	29	23023	173	196	1353	0	1	100	0.235	0.4299	0.7647	0.0096	0.6191	0.5862	1.0	2.1004	1.1139	1.2305	0.2353	0.4275	0.3678	7
59	35	52	3780021	3780044	252	21	23	27453	87	127	1378	0	1	40	0.0508	0.3555	0.7391	0.0123	0.8095	1.0	1.0	2.4014	1.2305	1.3617	0.2609	-0.1489	0.6438	7
62	1152	1162	284144	284198	386	35	54	44712	90	132	1687	0	1	200	0.6224	0.2852	0.1852	0.0059	0.2857	1.0	1.0	2.5866	1.0	1.7324	0.8148	-0.095	0.8299	1
63	669	684	491552	491684	1097	59	133	119540	50	134	1687	0	1	150	0.7931	0.446	0.1136	0.0089	0.2542	0.9925	1.0	3.0402	1.1761	2.1206	0.8864	-0.1487	1.0	1
